step,sigma,unweighted_mse
891,0.0850,0.00123
891,0.1524,0.00473
891,1.1038,0.04633
891,0.0939,0.00122
891,0.0852,0.00132
891,1.6568,0.08391
891,0.2805,0.00921
892,0.1225,0.00210
892,0.1901,0.00506
892,1.4654,0.07334
892,0.6567,0.01086
892,0.2424,0.00684
892,0.1142,0.00193
892,0.3894,0.01167
892,1.5662,0.07132
893,0.0957,0.00144
893,1.2526,0.02989
893,0.0561,0.00064
893,0.1442,0.00378
893,0.3624,0.01350
893,0.3392,0.01163
893,1.1832,0.05594
893,0.0489,0.00038
894,0.0290,0.00028
894,0.0292,0.00012
894,0.0577,0.00092
894,0.1388,0.00275
894,0.7154,0.03047
894,0.0756,0.00095
894,0.0880,0.00078
894,0.4531,0.01584
895,0.0405,0.00045
895,0.4810,0.03299
895,0.5003,0.01173
895,0.8292,0.03491
895,0.1870,0.00189
895,0.2783,0.00815
895,0.4275,0.01037
895,0.0512,0.00040
896,0.8559,0.05550
896,0.3009,0.00716
896,1.6383,0.10040
896,0.5041,0.02130
896,2.1238,0.12997
896,1.6288,0.12495
896,1.1290,0.06832
896,1.0414,0.03961
897,0.3343,0.00875
897,0.1643,0.00201
897,0.0240,0.00021
897,0.1838,0.00509
897,0.1968,0.00303
897,0.1296,0.00307
897,0.1306,0.00189
897,0.1690,0.00280
898,0.7693,0.01721
898,0.5510,0.01980
898,0.0642,0.00066
898,0.2136,0.00537
898,0.6516,0.02041
898,0.3494,0.01098
898,0.2702,0.00688
898,0.0460,0.00052
899,0.2734,0.00827
899,0.3753,0.01270
899,0.7582,0.02449
899,0.2368,0.00678
899,0.1644,0.00414
899,0.1913,0.00250
899,0.4106,0.01432
899,0.1708,0.00488
900,1.5222,0.08230
900,0.1800,0.00411
900,4.0626,0.17765
900,0.3899,0.01765
900,1.6550,0.10806
900,0.2121,0.00447
900,0.1075,0.00096
900,0.4255,0.01691
901,0.9965,0.06450
901,0.1420,0.00272
901,0.5493,0.02262
901,0.1275,0.00239
901,0.0826,0.00236
901,0.2672,0.00547
901,0.2894,0.00742
901,0.1879,0.00434
902,0.6578,0.01561
902,0.3358,0.01348
902,2.0572,0.16461
902,0.1380,0.00204
902,0.4187,0.01728
902,0.0162,0.00010
902,0.1800,0.00480
902,0.2913,0.00962
903,0.1348,0.00275
903,0.0965,0.00072
903,0.1016,0.00102
903,0.2370,0.00302
903,0.1690,0.00398
903,0.1421,0.00230
903,0.4026,0.01504
903,0.1808,0.00346
904,0.1493,0.00130
904,0.9281,0.03536
904,0.3268,0.01452
904,0.1031,0.00106
904,0.0355,0.00033
904,0.1623,0.00325
904,1.8849,0.13720
904,0.1341,0.00302
905,0.7297,0.03208
905,0.5016,0.01583
905,0.3692,0.00868
905,0.6169,0.02022
905,0.5291,0.01863
905,0.5430,0.02218
905,0.6753,0.03634
905,0.1729,0.00183
906,0.2507,0.00889
906,0.1262,0.00116
906,0.1465,0.00346
906,0.0664,0.00070
906,0.2019,0.00400
906,0.4066,0.00756
906,0.0460,0.00056
906,0.0387,0.00042
907,0.2620,0.00545
907,0.4541,0.01444
907,0.0418,0.00037
907,0.1984,0.00322
907,3.0960,0.23268
907,1.5280,0.07706
907,1.4545,0.05999
907,1.7068,0.14514
908,0.4149,0.01287
908,0.2888,0.00653
908,0.2071,0.00444
908,0.6691,0.02000
908,0.9066,0.03464
908,1.6843,0.04859
908,0.6916,0.02251
908,0.1180,0.00181
909,0.6014,0.02540
909,0.1739,0.00465
909,1.6403,0.10741
909,0.1717,0.00463
909,0.3654,0.01452
909,3.5467,0.22146
909,3.7965,0.20262
909,1.0593,0.02931
910,0.6710,0.03754
910,0.4881,0.01539
910,0.3002,0.00720
910,0.2399,0.00728
910,1.1565,0.05468
910,2.6547,0.18282
910,0.5331,0.00924
910,0.0421,0.00048
911,0.1493,0.00391
911,0.1058,0.00172
911,0.0745,0.00081
911,0.8135,0.02232
911,0.0812,0.00122
911,0.1364,0.00151
911,0.1157,0.00265
911,0.0676,0.00075
912,0.4779,0.00885
912,0.2717,0.00580
912,1.0056,0.04224
912,0.5913,0.02183
912,0.2962,0.00330
912,0.2339,0.00422
912,1.6314,0.09449
912,1.3476,0.03517
913,0.3111,0.00989
913,0.0904,0.00178
913,0.3335,0.00925
913,0.1493,0.00278
913,0.1541,0.00320
913,0.3927,0.00983
913,0.0594,0.00061
913,0.4584,0.01235
914,2.7996,0.19430
914,0.1479,0.00250
914,0.2515,0.00633
914,0.0606,0.00064
914,0.2897,0.01171
914,0.1071,0.00246
914,0.1438,0.00211
914,1.5537,0.07012
915,0.0611,0.00061
915,0.2232,0.00371
915,0.0820,0.00149
915,0.2622,0.00759
915,0.0207,0.00013
915,0.4569,0.01575
915,2.1804,0.17268
915,0.1563,0.00194
916,0.1046,0.00108
916,0.6969,0.02509
916,1.1717,0.03982
916,0.0480,0.00036
916,0.1226,0.00304
916,0.0911,0.00159
916,0.0801,0.00067
916,1.8601,0.18119
917,0.5506,0.01380
917,0.6120,0.02819
917,0.0402,0.00048
917,0.7080,0.01658
917,0.1719,0.00632
917,3.1790,0.08299
917,3.0133,0.20430
917,0.8629,0.03189
918,0.0345,0.00039
918,0.4456,0.01395
918,0.1086,0.00227
918,0.1425,0.00171
918,0.5150,0.01693
918,0.3287,0.00962
918,0.2617,0.00710
918,0.2868,0.00774
919,0.0829,0.00140
919,2.0993,0.06715
919,0.1104,0.00121
919,0.4191,0.01143
919,0.9613,0.02719
919,0.0963,0.00184
919,0.3027,0.00567
919,1.0708,0.03706
920,0.1166,0.00168
920,0.0990,0.00153
920,0.2420,0.00675
920,0.2985,0.00406
920,0.2877,0.00774
920,3.5643,0.24280
920,0.3649,0.00823
920,0.0356,0.00031
921,0.0590,0.00031
921,0.0931,0.00151
921,0.1955,0.00369
921,0.2607,0.00764
921,0.1251,0.00210
921,0.0901,0.00158
921,0.0889,0.00066
921,0.5568,0.01459
922,0.0972,0.00174
922,0.0595,0.00071
922,1.4612,0.03991
922,0.0615,0.00101
922,0.5761,0.01541
922,0.2391,0.00650
922,0.7819,0.04337
922,0.9621,0.04148
923,1.0358,0.06382
923,0.0257,0.00019
923,0.3561,0.01287
923,0.2506,0.00557
923,0.1546,0.00497
923,0.0779,0.00106
923,1.4195,0.05277
923,0.5722,0.01322
924,4.1685,0.19800
924,0.4827,0.02143
924,0.2653,0.00533
924,0.2486,0.00661
924,0.2833,0.00623
924,0.0485,0.00062
924,0.5585,0.01785
924,0.9179,0.03528
925,0.4682,0.01915
925,0.7196,0.01551
925,0.8354,0.02257
925,0.6735,0.02776
925,0.1950,0.00474
925,0.9317,0.04268
925,0.1163,0.00287
925,0.1919,0.00484
926,0.6873,0.01919
926,0.3919,0.00972
926,1.8863,0.11613
926,1.5534,0.05559
926,0.0341,0.00027
926,1.0119,0.04003
926,0.0344,0.00028
926,1.2772,0.05072
927,0.2461,0.00510
927,2.0302,0.08112
927,0.1862,0.00472
927,0.3843,0.01475
927,0.1837,0.00394
927,0.4487,0.01473
927,0.1945,0.00409
927,0.1923,0.00392
928,0.1753,0.00460
928,0.1229,0.00198
928,0.2036,0.00498
928,0.4979,0.01078
928,0.6006,0.02635
928,0.3189,0.00898
928,0.3766,0.01113
928,0.5575,0.00819
929,1.1210,0.04413
929,0.0735,0.00091
929,0.0288,0.00019
929,0.2011,0.00545
929,0.1097,0.00259
929,0.0235,0.00016
929,0.2604,0.00775
929,0.5298,0.02798
930,0.0955,0.00115
930,1.4329,0.02689
930,1.4685,0.06351
930,0.0646,0.00116
930,0.1816,0.00367
930,0.2512,0.00561
930,0.3976,0.01336
930,1.1270,0.03448
931,0.2909,0.00855
931,1.4543,0.08869
931,0.3745,0.00945
931,0.6058,0.02407
931,0.3972,0.01026
931,0.2965,0.00894
931,0.5341,0.01871
931,0.0914,0.00142
932,0.3252,0.00988
932,0.1941,0.00312
932,0.7984,0.03295
932,0.3326,0.00645
932,0.2748,0.00846
932,0.1308,0.00227
932,0.5931,0.01304
932,0.2920,0.00666
933,0.0219,0.00016
933,0.2945,0.00434
933,0.1218,0.00296
933,0.1630,0.00345
933,0.7249,0.02464
933,0.3402,0.01239
933,0.7177,0.03001
933,0.4913,0.02575
934,2.3057,0.14047
934,0.2401,0.00647
934,0.6161,0.00978
934,0.0735,0.00068
934,0.4460,0.01672
934,3.0035,0.22999
934,2.0925,0.10239
934,0.5765,0.03150
935,0.1320,0.00227
935,0.1143,0.00183
935,0.0354,0.00037
935,0.0288,0.00025
935,0.0785,0.00085
935,0.2766,0.00809
935,0.3538,0.00903
935,0.4828,0.02876
936,0.1709,0.00328
936,0.2652,0.00973
936,2.4854,0.15196
936,0.4647,0.01667
936,1.0247,0.04670
936,0.4591,0.01155
936,0.0550,0.00063
936,1.5376,0.09459
937,1.8679,0.06621
937,0.0183,0.00007
937,0.0438,0.00043
937,0.0803,0.00086
937,0.3076,0.00616
937,0.6189,0.01780
937,0.3996,0.00520
937,0.3364,0.00880
938,1.2531,0.05587
938,0.0722,0.00119
938,1.3299,0.06451
938,0.7678,0.03467
938,0.0601,0.00051
938,0.1599,0.00184
938,0.4659,0.01847
938,0.8397,0.01500
939,0.0330,0.00027
939,0.1240,0.00172
939,0.2760,0.00596
939,0.2137,0.00306
939,0.7290,0.03171
939,0.8308,0.02636
939,5.0072,0.24101
939,0.7070,0.02503
940,0.8295,0.03083
940,0.3468,0.00904
940,0.6288,0.02397
940,0.6023,0.02313
940,0.2071,0.00683
940,0.0801,0.00143
940,0.5731,0.01740
940,0.1489,0.00183
941,0.0815,0.00129
941,0.3065,0.00920
941,0.7485,0.02521
941,0.7692,0.02090
941,0.4695,0.01632
941,0.1749,0.00252
941,0.0657,0.00096
941,0.0206,0.00018
942,0.1151,0.00215
942,1.1863,0.04422
942,0.5585,0.01906
942,0.1284,0.00164
942,0.0562,0.00058
942,0.0617,0.00066
942,1.1948,0.02962
942,0.1397,0.00204
943,0.6028,0.02118
943,0.3543,0.00974
943,0.0363,0.00038
943,0.2056,0.00325
943,0.0918,0.00146
943,1.7836,0.10902
943,0.4487,0.02021
943,0.2522,0.00652
944,0.4157,0.00666
944,0.1394,0.00266
944,0.0891,0.00117
944,0.0199,0.00015
944,0.5856,0.02654
944,0.3733,0.00958
944,0.7956,0.04348
944,0.0581,0.00040
945,1.5008,0.11456
945,0.0568,0.00079
945,1.3457,0.05623
945,1.3369,0.10072
945,0.3803,0.00767
945,0.1181,0.00266
945,0.1796,0.00367
945,0.5234,0.01881
946,0.7193,0.01810
946,0.7627,0.03598
946,1.1563,0.05085
946,0.5632,0.02402
946,1.7863,0.08598
946,0.0768,0.00051
946,0.7870,0.02789
946,0.2870,0.00521
947,0.8444,0.02642
947,0.0855,0.00126
947,1.3177,0.03270
947,0.2092,0.00709
947,4.1138,0.20593
947,0.5498,0.02279
947,0.7711,0.02372
947,3.0246,0.18134
948,0.0550,0.00067
948,1.5689,0.10849
948,0.1058,0.00208
948,1.8106,0.10988
948,0.1139,0.00084
948,0.3107,0.01161
948,0.2910,0.00824
948,0.5884,0.02829
949,1.9210,0.16927
949,0.3920,0.01175
949,0.5541,0.02049
949,0.7869,0.01427
949,0.5795,0.02858
949,0.6766,0.04266
949,7.3289,0.27457
949,0.3761,0.01279
950,0.1758,0.00437
950,0.4190,0.01308
950,3.1104,0.16752
950,0.0957,0.00163
950,0.5760,0.02155
950,1.8723,0.04445
950,0.3570,0.00757
950,0.1165,0.00272
951,0.4740,0.01751
951,0.3060,0.00713
951,2.3519,0.08535
951,2.1075,0.18146
951,0.4966,0.01890
951,0.0439,0.00038
951,0.8126,0.02845
951,0.2614,0.00863
952,0.6223,0.02417
952,12.8759,0.17305
952,1.1014,0.05594
952,0.1168,0.00209
952,2.0737,0.11622
952,0.2117,0.00546
952,0.5372,0.01619
952,0.1953,0.00431
953,1.5752,0.06759
953,0.0434,0.00051
953,0.0922,0.00131
953,0.1683,0.00188
953,0.1701,0.00451
953,0.2418,0.00425
953,0.0784,0.00058
953,0.7592,0.03395
954,0.0631,0.00065
954,0.1076,0.00098
954,0.4799,0.01562
954,0.4588,0.01642
954,0.2029,0.00259
954,0.0687,0.00090
954,0.1918,0.00358
954,0.0335,0.00038
955,0.2876,0.00737
955,1.5119,0.03296
955,0.4367,0.01128
955,0.1248,0.00127
955,0.1789,0.00311
955,0.6131,0.01979
955,0.3414,0.00523
955,0.1143,0.00152
956,0.6801,0.01676
956,4.9282,0.12855
956,0.2964,0.00785
956,0.1188,0.00240
956,0.1316,0.00228
956,0.0791,0.00169
956,0.3569,0.00887
956,2.9905,0.11170
957,0.1089,0.00108
957,0.4641,0.01579
957,0.1159,0.00145
957,0.0633,0.00092
957,19.7553,0.22755
957,2.3974,0.17292
957,0.0832,0.00143
957,0.0602,0.00070
958,1.8867,0.11175
958,1.2845,0.05675
958,0.1032,0.00199
958,0.6343,0.01790
958,1.3999,0.06086
958,0.1829,0.00366
958,1.7593,0.02856
958,2.0728,0.13437
959,0.0107,0.00005
959,0.2978,0.00536
959,2.4262,0.16764
959,0.4073,0.00557
959,0.0739,0.00076
959,0.3211,0.00774
959,0.0474,0.00039
959,0.0272,0.00019
960,0.6539,0.03321
960,0.1771,0.00351
960,0.0591,0.00089
960,0.0066,0.00003
960,0.1008,0.00276
960,0.5451,0.02034
960,0.0851,0.00133
960,0.3380,0.00961
961,0.0716,0.00092
961,0.4904,0.01564
961,0.2179,0.00466
961,0.5418,0.01506
961,0.3548,0.00927
961,0.0793,0.00100
961,0.2624,0.00724
961,0.7962,0.04297
962,2.0218,0.13766
962,0.3099,0.01074
962,0.0298,0.00029
962,0.1985,0.00469
962,0.6494,0.01793
962,0.2815,0.00557
962,0.4607,0.01138
962,0.1151,0.00167
963,0.3021,0.00255
963,0.7271,0.03393
963,0.0913,0.00076
963,0.3435,0.00789
963,3.0631,0.18537
963,0.1142,0.00239
963,0.0949,0.00144
963,0.3059,0.00360
964,0.6451,0.04044
964,0.1023,0.00097
964,0.9576,0.02674
964,1.0926,0.05423
964,0.0965,0.00179
964,0.4144,0.01325
964,0.5235,0.01931
964,0.4025,0.01004
965,0.3502,0.00530
965,0.3083,0.00996
965,0.2040,0.00472
965,0.6795,0.03109
965,1.1292,0.08104
965,0.5044,0.02059
965,0.7281,0.02244
965,0.3615,0.01060
966,0.4182,0.01032
966,0.1587,0.00324
966,2.2279,0.08911
966,0.0679,0.00133
966,0.9185,0.04653
966,0.7552,0.02881
966,0.1722,0.00386
966,0.0256,0.00019
967,0.3170,0.00820
967,0.8657,0.04658
967,0.0329,0.00031
967,0.6319,0.03335
967,0.4688,0.02110
967,1.8616,0.11148
967,0.2065,0.00626
967,0.0680,0.00069
968,0.2455,0.00635
968,0.2951,0.00620
968,0.6332,0.00809
968,0.1234,0.00175
968,0.4984,0.00683
968,0.3221,0.00842
968,0.2852,0.00871
968,0.2538,0.00690
969,4.4628,0.20141
969,0.0632,0.00066
969,0.2760,0.01011
969,0.1235,0.00243
969,0.6157,0.02421
969,0.2440,0.00484
969,0.3100,0.01124
969,0.3018,0.00811
970,0.5520,0.01636
970,0.2311,0.00545
970,0.1048,0.00176
970,0.0880,0.00137
970,0.0915,0.00184
970,0.0203,0.00017
970,1.0635,0.04217
970,0.6320,0.01131
971,0.5530,0.01689
971,0.4470,0.01220
971,0.1127,0.00188
971,0.2239,0.00581
971,0.2753,0.00667
971,0.1191,0.00172
971,0.1021,0.00152
971,0.5874,0.01397
972,0.4146,0.01367
972,1.1663,0.05865
972,0.1284,0.00237
972,0.6117,0.01248
972,0.8627,0.04665
972,0.4157,0.00702
972,0.2431,0.00464
972,0.1854,0.00224
973,0.5056,0.01255
973,0.3880,0.01723
973,0.0327,0.00024
973,1.4375,0.09977
973,0.1210,0.00139
973,1.1834,0.04371
973,0.4630,0.01454
973,0.3591,0.01003
974,0.8730,0.03833
974,1.9105,0.10472
974,0.3555,0.01389
974,1.2168,0.05764
974,0.0677,0.00066
974,0.2274,0.00421
974,0.4223,0.01184
974,0.1151,0.00215
975,0.2490,0.00591
975,0.7573,0.02648
975,0.2248,0.00421
975,0.0568,0.00065
975,0.1522,0.00255
975,0.2212,0.00548
975,0.1761,0.00448
975,1.2774,0.07912
976,0.0919,0.00158
976,0.0619,0.00057
976,1.9294,0.11929
976,1.1888,0.06727
976,0.1079,0.00245
976,4.7088,0.17917
976,0.0818,0.00068
976,0.0335,0.00031
977,1.4918,0.08570
977,0.6223,0.02075
977,0.6482,0.01217
977,0.3996,0.00888
977,0.1408,0.00280
977,0.8391,0.01713
977,0.5232,0.02650
977,0.2668,0.00351
978,0.0505,0.00068
978,0.7597,0.01101
978,1.3422,0.06003
978,0.5462,0.01858
978,0.1971,0.00304
978,0.2767,0.00869
978,0.0275,0.00014
978,0.5648,0.01658
979,0.5132,0.01236
979,0.1079,0.00222
979,0.5021,0.01381
979,0.5198,0.01389
979,0.5068,0.01650
979,0.0688,0.00062
979,0.4614,0.01994
979,0.2002,0.00320
980,0.0514,0.00067
980,0.4453,0.01045
980,1.2380,0.05461
980,0.3498,0.01206
980,0.5552,0.01530
980,0.3713,0.00857
980,0.2697,0.00333
980,0.2244,0.00552
981,0.2991,0.00735
981,0.5628,0.01304
981,1.2515,0.08143
981,0.2286,0.00441
981,0.1199,0.00251
981,0.6932,0.02732
981,0.4390,0.01386
981,0.0562,0.00068
982,0.0453,0.00026
982,0.0478,0.00049
982,9.3173,0.23898
982,0.1945,0.00209
982,0.0254,0.00018
982,0.0223,0.00022
982,0.9348,0.02343
982,0.6239,0.01852
983,0.1876,0.00321
983,0.4045,0.01185
983,2.8270,0.10027
983,0.1611,0.00262
983,5.2817,0.19448
983,0.2613,0.00806
983,0.2793,0.00334
983,0.0330,0.00034
984,0.8712,0.04570
984,0.0304,0.00036
984,0.5049,0.01328
984,2.4492,0.22668
984,3.7949,0.14264
984,2.6897,0.15263
984,2.8153,0.07971
984,0.4344,0.01102
985,0.6169,0.03199
985,0.0638,0.00104
985,0.3256,0.00670
985,1.2744,0.04491
985,0.4108,0.00979
985,0.2725,0.00819
985,0.3765,0.00913
985,1.9971,0.16567
986,0.2322,0.00472
986,0.0422,0.00056
986,0.2435,0.00527
986,0.2900,0.01058
986,1.5474,0.07367
986,8.2879,0.17839
986,0.2650,0.00377
986,0.2252,0.00542
987,2.4920,0.12257
987,0.2121,0.00226
987,2.6023,0.08165
987,0.2024,0.00339
987,2.6463,0.12061
987,0.3862,0.00661
987,0.7909,0.02901
987,0.1353,0.00222
988,0.5994,0.02314
988,0.2886,0.00719
988,0.2252,0.00650
988,3.6279,0.19763
988,0.6506,0.01708
988,0.0681,0.00108
988,0.3202,0.01266
988,0.0650,0.00096
989,0.3217,0.00848
989,1.8288,0.09489
989,1.1438,0.04884
989,0.3247,0.01263
989,0.1111,0.00187
989,1.1267,0.08101
989,0.2452,0.00442
989,0.4533,0.01821
990,0.2981,0.00467
990,4.6481,0.29227
990,0.5096,0.02231
990,0.3687,0.01411
990,0.0943,0.00106
990,0.0311,0.00023
990,0.0128,0.00006
990,0.2699,0.00697
991,0.2454,0.00493
991,0.0749,0.00104
991,0.5073,0.01848
991,0.3058,0.00921
991,0.2311,0.00682
991,0.8638,0.01500
991,0.0846,0.00107
991,0.8491,0.03615
992,0.0799,0.00089
992,0.1304,0.00268
992,0.1707,0.00364
992,0.0684,0.00069
992,0.5348,0.01994
992,0.1588,0.00217
992,0.0818,0.00117
992,1.0115,0.05056
993,0.1592,0.00268
993,0.3002,0.00404
993,1.0576,0.06806
993,0.3525,0.00597
993,1.4522,0.07488
993,0.0506,0.00044
993,0.1512,0.00382
993,0.5181,0.01996
994,0.0937,0.00206
994,0.7243,0.03457
994,0.3676,0.00702
994,0.0805,0.00095
994,2.7417,0.13540
994,0.4288,0.01015
994,0.7740,0.00931
994,2.7173,0.10119
995,0.7295,0.03771
995,0.4300,0.00995
995,1.0511,0.03028
995,0.8338,0.03797
995,0.1102,0.00160
995,0.3171,0.01003
995,0.3005,0.00990
995,0.3892,0.01125
996,0.0555,0.00053
996,0.1320,0.00384
996,3.8252,0.27284
996,0.4476,0.01064
996,0.3189,0.00614
996,1.2253,0.05950
996,0.0192,0.00011
996,0.2240,0.00583
997,0.3697,0.01446
997,0.9663,0.04320
997,1.1768,0.04793
997,0.8175,0.02874
997,2.1152,0.06316
997,0.6699,0.02800
997,0.1342,0.00210
997,0.1020,0.00203
998,0.1246,0.00246
998,0.2189,0.00261
998,0.1125,0.00184
998,0.4941,0.01753
998,0.1615,0.00296
998,1.1183,0.03142
998,0.3879,0.01260
998,0.0687,0.00118
999,0.1551,0.00417
999,2.2157,0.13369
999,0.0185,0.00015
999,0.0377,0.00034
999,0.1309,0.00185
999,0.1983,0.00287
999,2.2820,0.10029
999,0.1826,0.00369
1000,0.0459,0.00036
1000,0.9113,0.03274
1000,0.0872,0.00178
1000,0.5743,0.02315
1000,0.1648,0.00425
1000,0.0399,0.00029
1000,0.0859,0.00099
1000,0.1042,0.00203
